"X(¥ìm)","Z(¥ìm)"
"6184.337 ","1397.779 "
"6195.663 ","1393.603 "
"6206.990 ","1390.233 "
"6218.317 ","1388.624 "
"6229.643 ","1385.876 "
"6240.970 ","1382.253 "
"6252.296 ","1380.575 "
"6263.623 ","1379.754 "
"6274.950 ","1377.872 "
"6286.276 ","1376.077 "
"6297.603 ","1376.005 "
"6308.930 ","1374.620 "
"6320.256 ","1372.530 "
"6331.583 ","1373.042 "
"6342.909 ","1371.273 "
"6354.236 ","1370.263 "
"6365.563 ","1369.219 "
"6376.889 ","1368.257 "
"6388.216 ","1369.290 "
"6399.543 ","1367.149 "
"6410.869 ","1367.534 "
"6422.196 ","1366.368 "
"6433.522 ","1366.975 "
"6444.849 ","1365.661 "
"6456.176 ","1365.277 "
"6467.502 ","1364.256 "
"6478.829 ","1364.756 "
"6490.156 ","1364.059 "
"6501.482 ","1363.585 "
"6512.809 ","1363.513 "
"6524.135 ","1363.755 "
"6535.462 ","1364.064 "
"6546.789 ","1364.875 "
"6558.115 ","1364.879 "
"6569.442 ","1366.225 "
"6580.769 ","1369.449 "
"6592.095 ","1371.042 "
"6603.422 ","1372.712 "
"6614.748 ","1374.707 "
"6626.075 ","1375.856 "
"6637.402 ","1378.362 "
"6648.728 ","1379.722 "
"6660.055 ","1380.595 "
"6671.382 ","1380.953 "
"6682.708 ","1381.699 "
"6694.035 ","1380.706 "
"6705.361 ","1380.175 "
"6716.688 ","1378.664 "
"6728.015 ","1376.967 "
"6739.341 ","1376.741 "
"6750.668 ","1373.133 "
"6761.995 ","1371.001 "
"6773.321 ","1369.255 "
"6784.648 ","1366.999 "
"6795.974 ","1363.915 "
"6807.301 ","1361.155 "
"6818.628 ","1357.279 "
"6829.954 ","1354.947 "
"6841.281 ","1351.027 "
"6852.608 ","1345.593 "
"6863.934 ","1342.715 "
"6875.261 ","1340.021 "
"6886.587 ","1336.660 "
"6897.914 ","1333.469 "
"6909.241 ","1330.341 "
"6920.567 ","1327.227 "
"6931.894 ","1324.035 "
"6943.221 ","1319.914 "
"6954.547 ","1316.042 "
"6965.874 ","1312.990 "
"6977.200 ","1309.622 "
"6988.527 ","1305.354 "
"6999.854 ","1300.666 "
"7011.180 ","1297.032 "
"7022.507 ","1292.381 "
"7033.834 ","1287.590 "
"7045.160 ","1283.897 "
"7056.487 ","1277.095 "
"7067.813 ","1270.430 "
"7079.140 ","1264.494 "
"7090.467 ","1258.514 "
"7101.793 ","1249.869 "
"7113.120 ","1241.010 "
"7124.446 ","1231.887 "
"7135.773 ","1221.151 "
"7147.100 ","1209.615 "
"7158.426 ","1196.410 "
"7169.753 ","1181.300 "
"7181.080 ","1164.657 "
"7192.406 ","1140.898 "
"7203.733 ","1116.999 "
"7215.059 ","1095.659 "
"7226.386 ","1072.398 "
"7237.713 ","1050.062 "
"7249.039 ","1033.948 "
"7260.366 ","1010.008 "
"7271.693 ","979.970 "
"7283.019 ","947.815 "
"7294.346 ","914.882 "
"7305.672 ","879.149 "
"7316.999 ","843.256 "
"7328.326 ","812.526 "
"7339.652 ","786.217 "
"7350.979 ","759.328 "
"7362.306 ","735.820 "
"7373.632 ","723.861 "
"7384.959 ","708.012 "
"7396.285 ","691.387 "
"7407.612 ","672.098 "
"7418.939 ","652.644 "
"7430.265 ","634.674 "
"7441.592 ","617.343 "
"7452.919 ","600.371 "
"7464.245 ","584.304 "
"7475.572 ","568.236 "
"7486.898 ","552.988 "
"7498.225 ","532.986 "
"7509.552 ","514.821 "
"7520.878 ","498.501 "
"7532.205 ","479.268 "
"7543.532 ","462.663 "
"7554.858 ","449.869 "
"7566.185 ","438.591 "
"7577.511 ","428.855 "
"7588.838 ","421.372 "
"7600.165 ","413.313 "
"7611.491 ","405.798 "
"7622.818 ","399.270 "
"7634.145 ","392.870 "
"7645.471 ","386.014 "
"7656.798 ","378.388 "
"7668.124 ","370.796 "
"7679.451 ","361.725 "
"7690.778 ","351.619 "
"7702.104 ","342.057 "
"7713.431 ","333.042 "
"7724.758 ","325.392 "
"7736.084 ","316.738 "
"7747.411 ","308.599 "
"7758.737 ","301.589 "
"7770.064 ","293.037 "
"7781.391 ","285.496 "
"7792.717 ","277.819 "
"7804.044 ","269.721 "
"7815.371 ","263.483 "
